NO,共通ID,施設・場所名,住所,指定緊急避難場所との住所同一,その他市町村長が必要と認める事項,受入対象者,緯度,経度,備考
752,E1721000022111,旭丘小学校（体育館）,石川県白山市宮永町1446-1,,,,36.545412751728,136.56504139766,
753,E1721000024111,宮保防災コミュニティセンター,石川県白山市宮保町740-1,1,,,36.514177614758,136.53495747292,
754,E1721000026111,鶴来防災コミュニティセンター,石川県白山市月橋町699-2,,,,36.456378137324,136.62017410094,
755,E1721000027111,鶴来高等学校（体育館）,石川県白山市月橋町710,1,,,36.456815909459,136.61826940954,
756,E1721000028111,いしかわこども園,石川県白山市源兵島町288,,,,36.483985039958,136.52893679503,
757,E1721000029111,石川コミュニティセンター,石川県白山市源兵島町332-1,1,,,36.484121235025,136.52745722219,
758,E1721000030111,石川小学校（体育館）,石川県白山市源兵島町344,,,,36.483771872458,136.52811704561,
759,E1721000031111,松任文化会館ピーノ,石川県白山市古城町2,,,,36.524261543294,136.56592781033,
760,E1721000032111,松任学習センタープララ,石川県白山市古城町305,,,,36.524641273596,136.56715221299,
761,E1721000033111,吉野谷コミュニティセンター,石川県白山市佐良ニ136,1,,,36.323669414694,136.64690020603,
762,E1721000034111,翠星高等学校（体育館）,石川県白山市三浦町500-1,1,,,36.512824603614,136.57427223588,
763,E1721000035111,旧吉野谷市民サービスセンター,石川県白山市市原丁25,,,,36.320432711673,136.64842536898,
764,E1721000036111,鶴来総合文化会館クレイン,石川県白山市七原町77,,,,36.48354781654,136.59809087,
765,E1721000037111,山島台児童センター,石川県白山市漆島町281,,,,36.472312755762,136.57809011219,
766,E1721000038111,日輪体育館,石川県白山市松本町888-1,,,,36.512363269761,136.51071714116,
767,E1721000039111,鳥越ふるさとセンター,石川県白山市上吉谷町甲99,1,,,36.334182747802,136.63511123493,
768,E1721000040111,鳥越小学校（体育館）,石川県白山市上野町オ1,1,,,36.370688520749,136.605003574,
769,E1721000041111,北陽小学校（体育館）,石川県白山市新田町246,,,,36.531267703978,136.57311344129,
770,E1721000042111,松南小学校（体育館）,石川県白山市菅波町1171-1,,,,36.491385986214,136.56890473889,
771,E1721000043111,尾口コミュニティセンター,石川県白山市瀬戸午10,,,,36.292072672661,136.64635162512,
772,E1721000044111,白嶺小中学校（体育館）,石川県白山市瀬戸申66,1,,,36.296088611483,136.64141005064,
773,E1721000046111,出城コミュニティセンター,石川県白山市成町406-2,1,,,36.522876089972,136.55506000018,
774,E1721000047111,松任コミュニティセンター,石川県白山市西新町170-1,,,,36.524683839323,136.56318360479,
775,E1721000048111,加賀野コミュニティセンター,石川県白山市西柏1-37,,,,36.501565015226,136.5314746218,
776,E1721000049111,千代野保育所,石川県白山市千代野西2-13,,,,36.522039842027,136.53791274874,
777,E1721000050111,千代野コミュニティセンター・千代野児童センター,石川県白山市千代野西8-30,1,,,36.527442472234,136.53770647595,
778,E1721000051111,千代野体育館,石川県白山市千代野東3-17-2,,,,36.522699922834,136.54237867888,
779,E1721000052111,千代野小学校（体育館）,石川県白山市千代野東4-1,,,,36.524666759366,136.54125893019,
780,E1721000053111,千代野会館,石川県白山市千代野東5-1-2,,,,36.523109948174,136.54381902681,
781,E1721000055111,松任総合運動公園体育館,石川県白山市倉光4-22,,,,36.513749957203,136.56353182908,
782,E1721000056111,はまなす保育園,石川県白山市相川町1262,,,,36.539270760006,136.54623519823,
783,E1721000057111,御手洗コミュニティセンター,石川県白山市相川町1566-1,1,,,36.538898569485,136.54096782269,
784,E1721000058111,シーサイド松任,石川県白山市相川町2462,,,,36.541666538644,136.53548247486,
785,E1721000060111,あいのきこども園,石川県白山市相木町797,,,,36.533410629036,136.565195073,
786,E1721000061111,一木コミュニティセンター・松任青少年体育館,石川県白山市村井町441,,,,36.512692182668,136.55921366495,
